Accuracy: 0.9390394088669951

Classification Report:
                                         precision    recall  f1-score   support

(vertigo) Paroymsal  Positional Vertigo       1.00      0.95      0.97        37
                                   AIDS       1.00      0.83      0.91        42
                                   Acne       1.00      0.88      0.94        42
                    Alcoholic hepatitis       1.00      0.90      0.95        40
                                Allergy       0.33      1.00      0.50        36
                              Arthritis       1.00      0.90      0.95        42
                       Bronchial Asthma       0.90      0.92      0.91        48
                   Cervical spondylosis       0.94      0.89      0.92        37
                            Chicken pox       1.00      0.92      0.96        38
                    Chronic cholestasis       0.90      0.87      0.89        31
                            Common Cold       1.00      1.00      1.00        34
                                 Dengue       1.00      0.98      0.99        46
                              Diabetes        1.00      1.00      1.00        35
           Dimorphic hemmorhoids(piles)       1.00      0.94      0.97        50
                          Drug Reaction       0.78      0.92      0.84        38
                       Fungal infection       1.00      0.85      0.92        33
                                   GERD       0.93      0.93      0.93        43
                        Gastroenteritis       1.00      0.88      0.94        43
                           Heart attack       0.90      0.88      0.89        42
                            Hepatitis B       1.00      1.00      1.00        47
                            Hepatitis C       1.00      0.82      0.90        40
                            Hepatitis D       1.00      1.00      1.00        38
                            Hepatitis E       1.00      1.00      1.00        50
                          Hypertension        1.00      0.97      0.99        37
                        Hyperthyroidism       1.00      0.88      0.94        42
                           Hypoglycemia       1.00      1.00      1.00        44
                         Hypothyroidism       1.00      1.00      1.00        38
                               Impetigo       1.00      0.94      0.97        36
                               Jaundice       1.00      0.92      0.96        37
                                Malaria       1.00      1.00      1.00        35
                               Migraine       1.00      0.92      0.96        39
                        Osteoarthristis       1.00      0.93      0.97        30
           Paralysis (brain hemorrhage)       1.00      0.97      0.99        38
                    Peptic ulcer diseae       1.00      0.90      0.95        31
                              Pneumonia       1.00      1.00      1.00        46
                              Psoriasis       1.00      0.94      0.97        33
                           Tuberculosis       1.00      1.00      1.00        40
                                Typhoid       1.00      0.95      0.97        41
                Urinary tract infection       1.00      0.95      0.97        41
                         Varicose veins       1.00      0.90      0.95        40
                            hepatitis A       1.00      1.00      1.00        44

                               accuracy                           0.94      1624
                              macro avg       0.97      0.94      0.95      1624
                           weighted avg       0.97      0.94      0.95      1624


Confusion Matrix:
 0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40
 35   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0  35   0   0   7   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0  37   0   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0  36   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0  36   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   4  38   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0  44   0   0   0   0   0   0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   4   0   0  33   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0  35   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   2   0   0   0   0  27   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0  34   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   1   0   0   0   0   0   0  45   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   0   0   0   0   0   0   0   0  35   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  0   0   0   0   3   0   0   0   0   0   0   0   0  47   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
